work_year,experience_level,employment_type,job,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_summary
2022,EN,FT,Cyber Security,Cyber Program Manager,63000,USD,63000,United States,50,United States,S,
2022,MI,FT,Cyber Security,Security Analyst,95000,USD,95000,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Analyst,70000,USD,70000,United States,0,United States,M,
2022,MI,FT,Cyber Security,IT Security Analyst,250000,BRL,48853,Brazil,50,Brazil,L,
2022,EN,CT,Cyber Security,Cyber Security Analyst,120000,USD,120000,Botswana,100,Botswana,S,
2022,EX,FT,Mobile Developer,Application Security Architect,315000,USD,315000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Researcher,220000,USD,220000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Researcher,140000,USD,140000,United States,100,United States,M,
2021,MI,FT,Cyber Security,Information Security Compliance Analyst,55000,GBP,75650,United Kingdom,50,United Kingdom,L,
2022,EX,FT,Cyber Security,Information Security Compliance Manager,360000,USD,360000,Taiwan,100,Taiwan,L,
2021,EN,FT,Cyber Security,Security Specialist,50000,USD,50000,United States,0,United States,S,
2022,SE,FT,Mobile Developer,Application Security Specialist,85000,USD,85000,United States,100,United States,L,
2022,MI,FT,Cyber Security,Cyber Security Consultant,90000,USD,90000,United States,100,United States,L,
2022,EN,FT,Cyber Security,Security Specialist,50000,USD,50000,United States,0,United States,S,
2022,EX,FT,Cyber Security,Head of Information Security,290000,USD,290000,United States,100,United States,L,
2021,EX,FT,Cyber Security,Head of Information Security,232000,USD,232000,United States,100,United States,L,
2022,EX,FT,Cyber Security,Head of Information Security,244000,USD,244000,United States,100,United States,L,
2022,EN,FT,Cyber Security,Security Incident Response Engineer,112000,USD,112000,United States,100,United States,L,
2022,EN,FT,Cyber Security,Cyber Security Analyst,72000,USD,72000,United States,100,United States,L,
2022,SE,FT,,Ethical Hacker,60000,EUR,64955,Netherlands,50,Netherlands,M,
2020,EN,FT,Cyber Security,Cyber Security Analyst,450000,INR,6072,India,50,India,L,
2021,MI,FT,Cyber Security,Cyber Security Consultant,45000,EUR,53192,Netherlands,100,Netherlands,L,
2022,EX,FT,Cyber Security,Chief Information Security Officer,109000,EUR,118002,Germany,100,Germany,M,
2022,MI,FT,DevOps,DevSecOps Engineer,152000,USD,152000,United States,0,United States,M,
2022,MI,FT,DevOps,DevSecOps Engineer,91000,USD,91000,United States,0,United States,M,
2022,SE,FT,Cyber Security,IT Security Manager,120000,EUR,129910,Germany,50,Germany,L,
2022,MI,FT,Mobile Developer,Application Security Engineer,207000,USD,207000,United States,100,United States,L,
2022,EX,FT,Cyber Security,Chief Information Security Officer,300000,USD,300000,United Arab Emirates,50,United Arab Emirates,L,
2022,MI,FT,Data Scientist,Vulnerability Analyst,115000,USD,115000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Cyber Security Engineer,126700,CAD,99397,Canada,100,Canada,L,
2022,EN,FT,Cyber Security,Information Security Analyst,52000,USD,52000,United States,100,United States,L,
2022,SE,FT,Mobile Developer,Principal Application Security Engineer,237000,USD,237000,United States,100,United States,L,
2021,EN,FT,Cyber Security,Cyber Security Architect,150000,USD,150000,United States,50,United States,M,
2022,SE,FT,Cyber Security,Information Security Manager,110000,USD,110000,United States,0,United States,L,
2022,EN,FT,Data Scientist,SOC Analyst,104000,USD,104000,United States,100,United States,L,
2021,EN,FT,Data Scientist,SOC Analyst,75000,USD,75000,United States,0,United States,M,
2022,SE,FT,DevOps,DevSecOps Engineer,165000,USD,165000,United States,100,United States,L,
2022,SE,FT,,Penetration Tester,190000,USD,190000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Cyber Threat Intelligence Analyst,135000,USD,135000,United States,100,United States,L,
2022,MI,FT,DevOps,Cloud Security Engineer,150000,CAD,117676,Canada,100,Canada,L,
2022,MI,FT,Cyber Security,Information Security Officer,97900,USD,97900,United States,50,United States,L,
2022,SE,FT,Cyber Security,IT Security Analyst,90000,USD,90000,United States,100,United States,S,
2021,SE,FT,Cyber Security,Security Consultant,175000,USD,175000,United States,100,United States,L,
2022,MI,FT,Cyber Security,Cyber Security Analyst,89998,USD,89998,United States,0,United States,L,
2022,MI,FT,Cyber Security,Information Security Specialist,150000,USD,150000,United States,100,United States,L,
2022,MI,FT,Cyber Security,Security Analyst,115000,USD,115000,United States,100,United States,L,
2022,MI,FT,Cyber Security,Information Security Officer,135000,USD,135000,United States,50,United States,L,
2022,EX,FT,Cyber Security,Information Security Manager,102000,USD,102000,United States,50,United States,L,
2022,SE,FT,,Penetration Tester,108000,USD,108000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Cyber Security Consultant,200000,USD,200000,United States,100,United States,M,
2022,EN,FT,Data Scientist,SOC Analyst,85000,CHF,89676,Switzerland,50,Switzerland,L,
2022,EN,FT,Cyber Security,Cyber Security Analyst,50000,USD,50000,United States,0,United States,S,
2022,SE,FT,DevOps,DevSecOps Engineer,157000,USD,157000,United States,0,United States,M,
2022,SE,FT,DevOps,DevSecOps Engineer,108000,USD,108000,United States,0,United States,M,
2022,EX,FT,Cyber Security,Director of Information Security,148000,USD,148000,United States,0,United States,L,
2022,MI,FT,Cyber Security,Security Engineer,130000,USD,130000,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,120000,USD,120000,United States,0,United States,M,
2022,MI,FT,Cyber Security,Information Security Compliance Lead,450000,DKK,65475,Denmark,50,Denmark,L,
2022,SE,FT,,Threat Hunter,150000,USD,150000,United States,100,United States,L,
2022,EN,FT,DevOps,Cloud Security Engineer,500000,INR,6522,India,100,India,L,
2022,SE,FT,Data Scientist,Threat Intelligence Analyst,184800,USD,184800,United States,100,United States,M,
2022,SE,FT,Data Scientist,Threat Intelligence Analyst,130800,USD,130800,United States,100,United States,M,
2022,MI,FT,DevOps,DevSecOps Engineer,80000,GBP,102646,United Kingdom,100,United Kingdom,M,
2022,MI,FT,DevOps,DevSecOps Engineer,60000,GBP,76985,United Kingdom,100,United Kingdom,M,
2022,MI,FT,Cyber Security,Security Analyst,114000,USD,114000,United States,0,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,207000,USD,207000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,153000,USD,153000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Incident Response Engineer,245000,USD,245000,United States,100,United States,L,
2022,SE,FT,Cyber Security,IT Security Analyst,98000,USD,98000,United States,50,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,220100,USD,220100,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,176080,USD,176080,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,226400,USD,226400,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,124300,USD,124300,United States,100,United States,L,
2022,SE,FT,Cyber Security,IT Security Engineer,145000,USD,145000,United States,100,United States,L,
2022,EX,FT,DevOps,Cloud Security Engineering Manager,50000,USD,50000,Chile,100,Chile,M,
2022,EN,FT,Mobile Developer,Application Security Analyst,50000,EUR,54129,Switzerland,50,Switzerland,M,
2022,EN,FT,Cyber Security,Data Security Analyst,50000,USD,50000,United States,100,United States,L,
2022,EN,FT,Cyber Security,Data Security Analyst,50000,USD,50000,United States,100,United States,L,
2022,MI,FT,,Detection Engineer,40000,EUR,43303,Spain,50,Spain,L,
2022,SE,FT,Cyber Security,Security Specialist,238200,USD,238200,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Specialist,176100,USD,176100,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,181940,USD,181940,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,132000,USD,132000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,186000,USD,186000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,148800,USD,148800,United States,100,United States,M,
2022,SE,FT,,Detection Engineer,252000,USD,252000,United States,100,United States,M,
2022,SE,FT,,Detection Engineer,145000,USD,145000,United States,100,United States,M,
2022,EX,FT,Cyber Security,Chief Information Security Officer,236000,USD,236000,United States,100,United States,L,
2021,EN,FT,Cyber Security,Cyber Security Analyst,12000,SGD,8929,Singapore,0,Singapore,M,
2022,SE,FT,Cyber Security,Principal Security Engineer,167000,USD,167000,United States,100,United States,M,
2022,EX,FT,Cyber Security,Head of Information Security,175000,USD,175000,United States,100,United States,M,
2022,EN,FT,Cyber Security,IT Security Analyst,70000,AUD,50002,Australia,50,Australia,L,
2022,MI,FT,DevOps,Information Systems Security Engineer,86500,USD,86500,United States,50,United States,L,
2022,MI,FT,Mobile Developer,Staff Application Security Engineer,120000,EUR,129910,France,50,France,L,
2022,SE,FT,Cyber Security,Security Engineer,200100,USD,200100,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,160080,USD,160080,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,165400,USD,165400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,132320,USD,132320,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Specialist,207800,USD,207800,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Specialist,153600,USD,153600,United States,100,United States,L,
2021,EN,FT,Cyber Security,Information Security Engineer,25000,EUR,29551,Italy,100,Italy,S,
2021,MI,FT,Cyber Security,Information Security Analyst,88000,USD,88000,United States,100,United States,L,
2022,EX,FT,Cyber Security,Information Security Compliance Manager,180000,USD,180000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,210000,USD,210000,Canada,100,Canada,M,
2022,SE,FT,Cyber Security,Security Engineer,160000,USD,160000,Canada,100,Canada,M,
2022,SE,FT,,Vulnerability Management Engineer,250600,USD,250600,United States,100,United States,M,
2022,SE,FT,,Vulnerability Management Engineer,118100,USD,118100,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,105800,USD,105800,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,81600,USD,81600,United States,100,United States,M,
2022,EN,FT,Cyber Security,Security Analyst,140000,USD,140000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Information Security Officer,267840,USD,267840,United States,100,United States,M,
2022,SE,FT,Cyber Security,Information Security Officer,214056,USD,214056,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Researcher,240000,CAD,188282,Canada,100,Canada,L,
2022,MI,FT,Cyber Security,Head of Information Security,107000,GBP,137290,United Kingdom,100,United Kingdom,M,
2022,MI,FT,Cyber Security,Head of Information Security,92000,GBP,118043,United Kingdom,100,United Kingdom,M,
2022,EN,CT,Cyber Security,Cyber Security Analyst,80000,USD,80000,United States,100,United States,L,
2022,EN,CT,Cyber Security,Cyber Security Analyst,60000,USD,60000,United States,100,United States,L,
2022,EN,FT,Cyber Security,Cyber Security Analyst,60000,USD,60000,United States,100,United States,L,
2022,EN,FT,DevOps,Azure Security Engineer,60000,USD,60000,United States,100,United States,L,
2022,EN,FT,DevOps,Azure Security Engineer,60000,USD,60000,United States,100,United States,S,
2021,EN,FT,Cyber Security,Cyber Security Analyst,115000,USD,115000,United States,100,United States,M,
2021,EN,FT,Cyber Security,Security Consultant,750000,INR,10142,India,50,India,L,
2022,MI,FT,Cyber Security,Security Operations Analyst,80000,GBP,102646,United Kingdom,100,United Kingdom,M,
2022,MI,FT,Cyber Security,Security Operations Analyst,55000,GBP,70569,United Kingdom,100,United Kingdom,M,
2022,MI,FT,Cyber Security,Security Engineer,170000,USD,170000,Australia,0,Australia,M,
2022,MI,FT,Cyber Security,Security Engineer,140000,USD,140000,Australia,0,Australia,M,
2022,SE,FT,Cyber Security,Cyber Security Engineer,175000,USD,175000,United States,0,United States,S,
2022,EX,FT,Cyber Security,Director of Information Security,180000,USD,180000,United States,100,United States,L,
2022,MI,FT,Cyber Security,Information Security Engineer,101000,USD,101000,United States,100,United States,L,
2022,MI,FT,Cyber Security,IT Security Engineer,101000,USD,101000,United States,100,United States,L,
2022,SE,FT,DevOps,DevOps Security Engineer,175000,USD,175000,United States,100,United States,L,
2022,MI,FT,Cyber Security,Cyber Security Analyst,97500,USD,97500,United States,100,United States,L,
2022,EN,FT,Cyber Security,Cyber Security Analyst,67000,USD,67000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,124600,USD,124600,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,96000,USD,96000,United States,100,United States,M,
2022,SE,FT,,Detection Engineer,292000,USD,292000,United Kingdom,100,United Kingdom,M,
2022,SE,FT,,Detection Engineer,170000,USD,170000,United Kingdom,100,United Kingdom,M,
2022,MI,FT,Cyber Security,Security Engineer,160000,USD,160000,Australia,0,Australia,M,
2022,MI,FT,Cyber Security,Security Engineer,140000,USD,140000,Australia,0,Australia,M,
2022,SE,FT,,Penetration Tester,180000,USD,180000,United States,100,United States,M,
2022,SE,FT,,Penetration Tester,140000,USD,140000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,245000,USD,245000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,190000,USD,190000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,226400,USD,226400,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,124300,USD,124300,United States,100,United States,L,
2022,EN,FT,Cyber Security,Security Analyst,63000,CAD,49424,Canada,100,Canada,S,
2022,EN,FT,Data Scientist,SOC Analyst,91600,USD,91600,United States,100,United States,L,
2022,MI,FT,DevOps,Cloud Security Engineer,165000,USD,165000,United States,50,United States,L,
2022,SE,FT,Cyber Security,Security Specialist,160000,USD,160000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Specialist,92400,USD,92400,United States,100,United States,L,
2022,SE,FT,Data Scientist,Threat Intelligence Analyst,103000,USD,103000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,154000,USD,154000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,139000,USD,139000,United States,100,United States,M,
2022,EX,FT,Cyber Security,Security Officer,160000,USD,160000,United States,100,United States,M,
2022,EX,FT,Cyber Security,Security Officer,120000,USD,120000,United States,100,United States,M,
2022,MI,FT,,Penetration Tester,50000,GBP,64154,United Kingdom,50,United Kingdom,M,
2022,SE,FT,Cyber Security,Security Engineer,82900,USD,82900,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,63900,USD,63900,United States,100,United States,M,
2022,EN,FT,Data Scientist,SOC Analyst,75000,USD,75000,United States,100,United States,L,
2022,EN,FT,Data Scientist,SOC Analyst,75000,USD,75000,United States,100,United States,L,
2022,MI,FT,Cyber Security,Security Analyst,89000,USD,89000,United States,0,United States,L,
2022,MI,FT,Cyber Security,Security Analyst,68462,USD,68462,United States,0,United States,L,
2022,MI,FT,Cyber Security,Security Engineer,72500,USD,72500,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,276900,USD,276900,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,168400,USD,168400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,105800,USD,105800,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,81600,USD,81600,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Specialist,177600,USD,177600,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Specialist,131300,USD,131300,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,120000,USD,120000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,90000,USD,90000,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,145000,USD,145000,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,105400,USD,105400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,220000,USD,220000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,140000,USD,140000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,175000,USD,175000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,130000,USD,130000,United States,100,United States,M,
2022,EN,PT,Cyber Security,Security Consultant,20000,EUR,21651,Germany,100,Germany,M,
2022,SE,FT,Mobile Developer,Application Security Engineer,60000,USD,60000,Pakistan,100,Pakistan,M,
2022,EN,PT,,Penetration Tester,80000,USD,80000,India,100,India,L,
2022,MI,FT,,Detection Engineer,200100,USD,200100,United States,100,United States,M,
2022,MI,FT,,Detection Engineer,160080,USD,160080,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Consultant,135000,USD,135000,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Consultant,100000,USD,100000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,195000,USD,195000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,170000,USD,170000,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,108070,USD,108070,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,91860,USD,91860,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Specialist,207800,USD,207800,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Specialist,153600,USD,153600,United States,100,United States,L,
2022,MI,FT,Cyber Security,Security Analyst,102600,USD,102600,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Analyst,82080,USD,82080,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,160000,USD,160000,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,110000,USD,110000,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,140000,EUR,151562,France,100,France,M,
2022,MI,FT,Cyber Security,Security Engineer,100000,EUR,108258,France,100,France,M,
2022,MI,FT,Cyber Security,IT Security Manager,120000,EUR,129910,France,100,France,M,
2022,MI,FT,Cyber Security,IT Security Manager,80000,EUR,86607,France,100,France,M,
2022,MI,FT,Cyber Security,Security Engineer,180000,EUR,194866,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,140000,EUR,151562,United States,100,United States,M,
2022,EX,FT,Cyber Security,Information Security Officer,240000,EUR,259821,United States,100,United States,M,
2022,EX,FT,Cyber Security,Information Security Officer,180000,EUR,194866,United States,100,United States,M,
2022,MI,FT,DevOps,DevSecOps Engineer,152000,USD,152000,United States,0,United States,M,
2022,MI,FT,DevOps,DevSecOps Engineer,91000,USD,91000,United States,0,United States,M,
2022,MI,FT,,Detection Engineer,200100,USD,200100,United States,100,United States,M,
2022,MI,FT,,Detection Engineer,160080,USD,160080,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Analyst,193800,USD,193800,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Analyst,62000,USD,62000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,160000,USD,160000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,120000,USD,120000,United States,100,United States,L,
2022,SE,FT,Cyber Security,Security Engineer,192400,USD,192400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,90700,USD,90700,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Analyst,150260,USD,150260,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Analyst,109280,USD,109280,United States,100,United States,M,
2022,SE,FT,,Penetration Tester,175000,USD,175000,United States,0,United States,M,
2022,SE,FT,,Penetration Tester,90000,USD,90000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,200100,USD,200100,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,160080,USD,160080,United States,100,United States,M,
2022,SE,FT,DevOps,Security DevOps Engineer,130200,USD,130200,United States,100,United States,M,
2022,SE,FT,DevOps,Security DevOps Engineer,106500,USD,106500,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Specialist,146800,USD,146800,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Specialist,118200,USD,118200,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,165200,USD,165200,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,133000,USD,133000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,165200,USD,165200,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,133000,USD,133000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,146800,USD,146800,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,118200,USD,118200,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,115700,USD,115700,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,94700,USD,94700,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Analyst,60000,USD,60000,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Analyst,50000,USD,50000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,210000,USD,210000,Canada,0,Canada,M,
2022,SE,FT,Cyber Security,Security Engineer,160000,USD,160000,Canada,0,Canada,M,
2022,SE,FT,Cyber Security,Security Analyst,144200,USD,144200,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Analyst,132870,USD,132870,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,175000,USD,175000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,120000,USD,120000,United States,0,United States,M,
2022,SE,FT,,Penetration Tester,180000,USD,180000,United States,100,United States,M,
2022,SE,FT,,Penetration Tester,80000,USD,80000,United States,100,United States,M,
2022,MI,FT,DevOps,Security DevOps Engineer,91670,USD,91670,United States,0,United States,L,
2022,MI,FT,DevOps,Security DevOps Engineer,63500,USD,63500,United States,0,United States,L,
2022,SE,FT,Cyber Security,Information Security Manager,180000,USD,180000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Information Security Manager,90000,USD,90000,United States,0,United States,M,
2022,EN,FT,,Penetration Tester,40000,EUR,43303,Greece,0,Greece,M,
2022,EN,FT,,Penetration Tester,25000,EUR,27064,Greece,0,Greece,M,
2022,SE,FT,Cyber Security,Security Engineer,165400,USD,165400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,132320,USD,132320,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,184800,USD,184800,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,148800,USD,148800,United States,100,United States,M,
2022,SE,FT,,Penetration Tester,207500,USD,207500,Canada,100,Canada,M,
2022,SE,FT,,Penetration Tester,125000,USD,125000,Canada,100,Canada,M,
2022,SE,FT,Cyber Security,Security Engineer,165400,USD,165400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,132320,USD,132320,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,145000,USD,145000,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,118600,USD,118600,United States,100,United States,M,
2022,MI,FT,DevOps,DevSecOps Engineer,152000,USD,152000,United States,0,United States,M,
2022,MI,FT,DevOps,DevSecOps Engineer,91000,USD,91000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,210000,USD,210000,Canada,0,Canada,M,
2022,SE,FT,Cyber Security,Security Engineer,160000,USD,160000,Canada,0,Canada,M,
2022,SE,FT,DevOps,DevSecOps Engineer,157000,USD,157000,United States,0,United States,M,
2022,SE,FT,DevOps,DevSecOps Engineer,108000,USD,108000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Consultant,175000,USD,175000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Consultant,90000,USD,90000,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Consultant,80000,GBP,102646,United Kingdom,100,United Kingdom,M,
2022,MI,FT,Cyber Security,Security Consultant,65000,GBP,83400,United Kingdom,100,United Kingdom,M,
2022,SE,FT,Cyber Security,Security Engineer,220000,USD,220000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,165400,USD,165400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,184800,USD,184800,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,148800,USD,148800,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,145000,USD,145000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,118600,USD,118600,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,165400,USD,165400,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,132320,USD,132320,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,165400,USD,165400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,132320,USD,132320,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,160000,USD,160000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,130000,USD,130000,United States,100,United States,M,
2022,MI,FT,Data Scientist,Vulnerability Analyst,115000,USD,115000,United States,100,United States,M,
2022,MI,FT,Data Scientist,Vulnerability Analyst,100000,USD,100000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,131500,USD,131500,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,111775,USD,111775,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,221500,USD,221500,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,104400,USD,104400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,210000,USD,210000,United States,0,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,160000,USD,160000,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,140000,USD,140000,United States,100,United States,S,
2022,MI,FT,Cyber Security,Security Engineer,90000,USD,90000,United States,100,United States,S,
2022,SE,FT,Cyber Security,Security Engineer,165400,USD,165400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,132320,USD,132320,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Analyst,60000,USD,60000,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Analyst,50000,USD,50000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Information Security Officer,267840,USD,267840,United States,100,United States,M,
2022,SE,FT,Cyber Security,Information Security Officer,214056,USD,214056,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,201000,USD,201000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,160080,USD,160080,United States,100,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,172000,USD,172000,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,87000,USD,87000,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,141300,USD,141300,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,102100,USD,102100,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,141300,USD,141300,United States,0,United States,M,
2022,MI,FT,Cyber Security,Security Engineer,88100,USD,88100,United States,0,United States,M,
2022,SE,FT,DevOps,Security DevOps Engineer,120000,USD,120000,United States,100,United States,M,
2022,SE,FT,DevOps,Security DevOps Engineer,30000,USD,30000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Cyber Threat Intelligence Analyst,222500,USD,222500,United States,100,United States,M,
2022,SE,FT,Cyber Security,Cyber Threat Intelligence Analyst,135000,USD,135000,United States,100,United States,M,
2022,EX,FT,Cyber Security,Information Security Officer,300000,USD,300000,United States,100,United States,M,
2022,EX,FT,Cyber Security,Information Security Officer,250000,USD,250000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,210000,USD,210000,Canada,0,Canada,M,
2022,SE,FT,Cyber Security,Security Engineer,160000,USD,160000,Canada,0,Canada,M,
2022,SE,FT,Cyber Security,Security Analyst,168400,USD,168400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Analyst,148000,USD,148000,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,165400,USD,165400,United States,100,United States,M,
2022,SE,FT,Cyber Security,Security Engineer,132320,USD,132320,United States,100,United States,M,
